time,cpi
107,97.76
107/1,97.02
107/2,97.93
107/3,96.98
107/4,97.61
107/5,97.48
107/6,97.88
107/7,98.22
107/8,98.16
107/9,98.32
107/10,98.39
107/11,97.78
107/12,97.29
108,98.3
108/1,97.19
108/2,98.14
108/3,97.52
108/4,98.25
108/5,98.39
108/6,98.71
108/7,98.6
108/8,98.58
108/9,98.73
108/10,98.75
108/11,98.35
108/12,98.41
109,98.07
109/1,99
109/2,97.94
109/3,97.5
109/4,97.3
109/5,97.2
109/6,97.98
109/7,98.1
109/8,98.25
109/9,98.16
109/10,98.49
109/11,98.44
109/12,98.45
110,100
110/1,98.81
110/2,99.29
110/3,98.69
110/4,99.35
110/5,99.58
110/6,99.77
110/7,99.97
110/8,100.55
110/9,100.71
110/10,101
110/11,101.24
110/12,101.04
111,102.95
111/1,101.61
111/2,101.6
111/3,101.92
111/4,102.7
111/5,102.96
111/6,103.35
111/7,103.32
111/8,103.24
111/9,103.49
111/10,103.77
111/11,103.62
111/12,103.78
112/1,104.71
112/2,104.06
112/3,104.32
112/4,105.11
112/5,105.04
112/6,105.16
112/7,105.26
112/8,105.85
112/9,106.52
112/10,106.93
112/11,106.63
